Elementos: 421, work_group_size: 1, Grupos:421
Elementos: 422, work_group_size: 2, Grupos:211
Elementos: 423, work_group_size: 47, Grupos:9
Elementos: 424, work_group_size: 53, Grupos:8
Elementos: 425, work_group_size: 25, Grupos:17
Elementos: 426, work_group_size: 6, Grupos:71
Elementos: 427, work_group_size: 7, Grupos:61
Elementos: 428, work_group_size: 4, Grupos:107
Elementos: 429, work_group_size: 39, Grupos:11
Elementos: 430, work_group_size: 43, Grupos:10
Elementos: 431, work_group_size: 1, Grupos:431
Elementos: 432, work_group_size: 16, Grupos:27
Elementos: 433, work_group_size: 1, Grupos:433
Elementos: 434, work_group_size: 31, Grupos:14
Elementos: 435, work_group_size: 29, Grupos:15
Elementos: 436, work_group_size: 4, Grupos:109
Elementos: 437, work_group_size: 23, Grupos:19
Elementos: 438, work_group_size: 6, Grupos:73
Elementos: 439, work_group_size: 1, Grupos:439
Elementos: 440, work_group_size: 8, Grupos:55
Elementos: 441, work_group_size: 49, Grupos:9
Elementos: 442, work_group_size: 34, Grupos:13
Elementos: 443, work_group_size: 1, Grupos:443
Elementos: 444, work_group_size: 4, Grupos:111
Elementos: 445, work_group_size: 5, Grupos:89
Elementos: 446, work_group_size: 2, Grupos:223
Elementos: 447, work_group_size: 1, Grupos:447
Elementos: 448, work_group_size: 56, Grupos:8
Elementos: 449, work_group_size: 1, Grupos:449
Elementos: 450, work_group_size: 50, Grupos:9
Elementos: 451, work_group_size: 41, Grupos:11
Elementos: 452, work_group_size: 4, Grupos:113
Elementos: 453, work_group_size: 3, Grupos:151
Elementos: 454, work_group_size: 2, Grupos:227
Elementos: 455, work_group_size: 35, Grupos:13
Elementos: 456, work_group_size: 57, Grupos:8
Elementos: 457, work_group_size: 1, Grupos:457
Elementos: 458, work_group_size: 2, Grupos:229
Elementos: 459, work_group_size: 51, Grupos:9
Elementos: 460, work_group_size: 4, Grupos:115
Elementos: 461, work_group_size: 1, Grupos:461
Elementos: 462, work_group_size: 42, Grupos:11
Elementos: 463, work_group_size: 1, Grupos:463
Elementos: 464, work_group_size: 58, Grupos:8
Elementos: 465, work_group_size: 31, Grupos:15
Elementos: 466, work_group_size: 2, Grupos:233
Elementos: 467, work_group_size: 1, Grupos:467
Elementos: 468, work_group_size: 4, Grupos:117
Elementos: 469, work_group_size: 7, Grupos:67
Elementos: 470, work_group_size: 47, Grupos:10
Elementos: 471, work_group_size: 1, Grupos:471
Elementos: 472, work_group_size: 8, Grupos:59
Elementos: 473, work_group_size: 43, Grupos:11
Elementos: 474, work_group_size: 6, Grupos:79
Elementos: 475, work_group_size: 25, Grupos:19
Elementos: 476, work_group_size: 4, Grupos:119
Elementos: 477, work_group_size: 53, Grupos:9
Elementos: 478, work_group_size: 2, Grupos:239
Elementos: 479, work_group_size: 1, Grupos:479
Elementos: 480, work_group_size: 60, Grupos:8
Elementos: 481, work_group_size: 37, Grupos:13
Elementos: 482, work_group_size: 2, Grupos:241
Elementos: 483, work_group_size: 23, Grupos:21
Elementos: 484, work_group_size: 4, Grupos:121
Elementos: 485, work_group_size: 5, Grupos:97
Elementos: 486, work_group_size: 54, Grupos:9
Elementos: 487, work_group_size: 1, Grupos:487
Elementos: 488, work_group_size: 61, Grupos:8
Elementos: 489, work_group_size: 3, Grupos:163
Elementos: 490, work_group_size: 49, Grupos:10
Elementos: 491, work_group_size: 1, Grupos:491
Elementos: 492, work_group_size: 4, Grupos:123
Elementos: 493, work_group_size: 29, Grupos:17
Elementos: 494, work_group_size: 38, Grupos:13
Elementos: 495, work_group_size: 55, Grupos:9
Elementos: 496, work_group_size: 16, Grupos:31
Elementos: 497, work_group_size: 7, Grupos:71
Elementos: 498, work_group_size: 6, Grupos:83
Elementos: 499, work_group_size: 1, Grupos:499
Elementos: 500, work_group_size: 4, Grupos:125
Elementos: 501, work_group_size: 3, Grupos:167
Elementos: 502, work_group_size: 2, Grupos:251
Elementos: 503, work_group_size: 1, Grupos:503
Elementos: 504, work_group_size: 8, Grupos:63
Elementos: 505, work_group_size: 5, Grupos:101
Elementos: 506, work_group_size: 46, Grupos:11
Elementos: 507, work_group_size: 39, Grupos:13
Elementos: 508, work_group_size: 4, Grupos:127
Elementos: 509, work_group_size: 1, Grupos:509
Elementos: 510, work_group_size: 51, Grupos:10
Elementos: 511, work_group_size: 7, Grupos:73
Elementos: 512, work_group_size: 64, Grupos:8
Elementos: 513, work_group_size: 57, Grupos:9
Elementos: 514, work_group_size: 2, Grupos:257
Elementos: 515, work_group_size: 5, Grupos:103
Elementos: 516, work_group_size: 4, Grupos:129
Elementos: 517, work_group_size: 47, Grupos:11
Elementos: 518, work_group_size: 37, Grupos:14
Elementos: 519, work_group_size: 1, Grupos:519
Elementos: 520, work_group_size: 65, Grupos:8
Elementos: 521, work_group_size: 1, Grupos:521
Elementos: 522, work_group_size: 58, Grupos:9
Elementos: 523, work_group_size: 1, Grupos:523
Elementos: 524, work_group_size: 4, Grupos:131
Elementos: 525, work_group_size: 35, Grupos:15
Elementos: 526, work_group_size: 2, Grupos:263
Elementos: 527, work_group_size: 31, Grupos:17
Elementos: 528, work_group_size: 66, Grupos:8
Elementos: 529, work_group_size: 23, Grupos:23
Elementos: 530, work_group_size: 53, Grupos:10
Elementos: 531, work_group_size: 59, Grupos:9
Elementos: 532, work_group_size: 4, Grupos:133
Elementos: 533, work_group_size: 41, Grupos:13
Elementos: 534, work_group_size: 6, Grupos:89
Elementos: 535, work_group_size: 5, Grupos:107
Elementos: 536, work_group_size: 8, Grupos:67
Elementos: 537, work_group_size: 3, Grupos:179
Elementos: 538, work_group_size: 2, Grupos:269
Elementos: 539, work_group_size: 49, Grupos:11
Elementos: 540, work_group_size: 4, Grupos:135
Elementos: 541, work_group_size: 1, Grupos:541
Elementos: 542, work_group_size: 2, Grupos:271
Elementos: 543, work_group_size: 1, Grupos:543
Elementos: 544, work_group_size: 68, Grupos:8
Elementos: 545, work_group_size: 5, Grupos:109
Elementos: 546, work_group_size: 42, Grupos:13
Elementos: 547, work_group_size: 1, Grupos:547
Elementos: 548, work_group_size: 4, Grupos:137
Elementos: 549, work_group_size: 61, Grupos:9
Elementos: 550, work_group_size: 55, Grupos:10
Elementos: 551, work_group_size: 29, Grupos:19
Elementos: 552, work_group_size: 69, Grupos:8
Elementos: 553, work_group_size: 7, Grupos:79
Elementos: 554, work_group_size: 2, Grupos:277
Elementos: 555, work_group_size: 37, Grupos:15
Elementos: 556, work_group_size: 4, Grupos:139
Elementos: 557, work_group_size: 1, Grupos:557
Elementos: 558, work_group_size: 62, Grupos:9
Elementos: 559, work_group_size: 43, Grupos:13
Elementos: 560, work_group_size: 16, Grupos:35
Elementos: 561, work_group_size: 51, Grupos:11
Elementos: 562, work_group_size: 2, Grupos:281
Elementos: 563, work_group_size: 1, Grupos:563
Elementos: 564, work_group_size: 4, Grupos:141
Elementos: 565, work_group_size: 5, Grupos:113
Elementos: 566, work_group_size: 2, Grupos:283
Elementos: 567, work_group_size: 63, Grupos:9
Elementos: 568, work_group_size: 8, Grupos:71
Elementos: 569, work_group_size: 1, Grupos:569
Elementos: 570, work_group_size: 57, Grupos:10
Elementos: 571, work_group_size: 1, Grupos:571
Elementos: 572, work_group_size: 4, Grupos:143
Elementos: 573, work_group_size: 3, Grupos:191
Elementos: 574, work_group_size: 41, Grupos:14
Elementos: 575, work_group_size: 25, Grupos:23
Elementos: 576, work_group_size: 72, Grupos:8
Elementos: 577, work_group_size: 1, Grupos:577
Elementos: 578, work_group_size: 34, Grupos:17
Elementos: 579, work_group_size: 1, Grupos:579
Elementos: 580, work_group_size: 4, Grupos:145
Elementos: 581, work_group_size: 7, Grupos:83
Elementos: 582, work_group_size: 6, Grupos:97
Elementos: 583, work_group_size: 53, Grupos:11
